tweet_original;tweet_preprocesado;puntaje_positivo;puntaje_negativo;sentimiento_calculado;sentimiento;tiempo_fuzz;tiempo_defuzz;tiempo_total
i loooooooovvvvvveee my kindle not that the dx is cool but the is fantastic in its own right;loooooooovvvvvveee kindle dx cool fantastic right;0.46;0.31;5.34;Neutro;0.00019407272338867188;0.01310586929321289;0.013299942016601562
reading my kindle love it lee childs is good read;reading kindle love lee child good read;0.59;0.0;8.21;Positivo;0.0001628398895263672;0.009051799774169922;0.009214639663696289
ok first assesment of the kindle it fucking rocks;ok first assesment kindle fucking rock;0.31;0.0;6.2;Neutro;0.00012350082397460938;0.011980533599853516;0.012104034423828125
you ll love your kindle i ve had mine for a few months and never looked back the new big one is huge no need for remorse;love kindle mine month never looked back new big one huge need remorse;0.35;0.11;6.4;Neutro;0.00013637542724609375;0.011901617050170898;0.012037992477416992
fair enough but i have the kindle and i think it s perfect;fair enough kindle think perfect;0.67;0.0;8.07;Positivo;0.00012683868408203125;0.009359598159790039;0.00948643684387207
no it is too big i m quite happy with the kindle;big quite happy kindle;0.57;0.0;8.24;Positivo;0.00013208389282226562;0.00902104377746582;0.009153127670288086
fuck this economy i hate aig and their non loan given asses;fuck economy hate aig non loan given ass;0.0;0.68;1.83;Negativo;0.00011610984802246094;0.008514165878295898;0.00863027572631836
jquery is my new best friend;jquery new best friend;0.79;0.0;8.25;Positivo;0.00011992454528808594;0.008686542510986328;0.008806467056274414
loves twitter;love twitter;0.81;0.0;8.28;Positivo;0.0001266002655029297;0.009057044982910156;0.009183645248413086
how can you not love obama he makes jokes about himself;love obama make joke;0.76;0.0;8.21;Positivo;0.00012922286987304688;0.00865936279296875;0.008788585662841797
i firmly believe that obama pelosi have zero desire to be civil it s a charade and a slogan but they want to destroy conservatism;firmly believe obama pelosi zero desire civil charade slogan want destroy conservatism;0.24;0.21;5.22;Neutro;0.00011444091796875;0.009505987167358398;0.009620428085327148
house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation;house correspondent dinner last night whoopi barbara amp sherri went obama got standing ovation;0.0;0.0;5.0;Neutro;0.0001308917999267578;0.016622304916381836;0.016753196716308594
watchin espn jus seen this new nike commerical with a puppet lebron sh t was hilarious lmao;watchin espn jus seen new nike commerical puppet lebron sh hilarious lmao;0.4;0.0;7.3;Positivo;0.0001418590545654297;0.013592720031738281;0.013734579086303711
dear nike stop with the flywire that shit is a waste of science and ugly love;dear nike stop flywire shit waste science ugly love;0.31;0.55;4.77;Neutro;0.00016736984252929688;0.014236927032470703;0.014404296875
lebron best athlete of our generation if not all time basketball related i don t want to get into inter sport debates about __;lebron best athlete generation time basketball related want get inter sport debate;0.35;0.0;6.61;Neutro;0.0001266002655029297;0.011120319366455078;0.011246919631958008
